pdb_id,ec_numbers,uniprot_id
3bcn,3.4.22.-,A5YVK8
3hbj,2.4.1.-,A6XNC6
3hbf,2.4.1.-,A6XNC6
4axv,3.4.17.-,A7N805
2pre,3.4.22.-,A8DS38
4zrd,3.1.1.-,A8PUY1
4zre,3.1.1.-,A8PUY1
7spr,3.1.1.-,A8PUY1
3uue,3.1.1.-,A8PUY1
3uuf,3.1.1.-,A8PUY1
3t2c,3.1.3.11;4.1.2.13,B1YAL1
3t2f,3.1.3.11;4.1.2.13,B1YAL1
3t2g,3.1.3.11;4.1.2.13,B1YAL1
3t2e,3.1.3.11;4.1.2.13,B1YAL1
3t2b,3.1.3.11;4.1.2.13,B1YAL1
3t2d,3.1.3.11;4.1.2.13,B1YAL1
3ziz,3.2.1.78,B2B3C0
2nyf,4.3.1.24,B2J528
5sdd,3.4.14.-,B2RID1
5sdg,3.4.14.-,B2RID1
5sdh,3.4.14.-,B2RID1
5sdo,3.4.14.-,B2RID1
5sdk,3.4.14.-,B2RID1
4y01,3.4.14.-,B2RID1
5sdn,3.4.14.-,B2RID1
6jtc,3.4.14.-,B2RID1
5sdm,3.4.14.-,B2RID1
5sds,3.4.14.-,B2RID1
4y02,3.4.14.-,B2RID1
5jwf,3.4.14.-,B2RID1
5sde,3.4.14.-,B2RID1
5sdf,3.4.14.-,B2RID1
5sdc,3.4.14.-,B2RID1
5sdi,3.4.14.-,B2RID1
4xzy,3.4.14.-,B2RID1
6jtb,3.4.14.-,B2RID1
5sdl,3.4.14.-,B2RID1
5sdp,3.4.14.-,B2RID1
4y04,3.4.14.-,B2RID1
5sdr,3.4.14.-,B2RID1
5sdj,3.4.14.-,B2RID1
7r51,3.4.14.-,B2RID1
5sdq,3.4.14.-,B2RID1
1vya,2.7.4.6,B4FK49
5l2p,3.1.1.2,B5BLW5
4a5q,3.2.1.14,B6A876
3oa5,3.2.1.14,B6A876
6ogd,3.2.1.14,B6A879
4dws,3.2.1.14,B6A879
3rga,5.5.1.-,B6ZK72
4rzm,5.5.1.-,B6ZK72
7d1p,2.3.2.5,B7QK46
7d2j,2.3.2.5,B7QK46
7d1n,2.3.2.5,B7QK46
7d1y,2.3.2.5,B7QK46
7d2b,2.3.2.5,B7QK46
7d2d,2.3.2.5,B7QK46
4mhy,2.3.2.5,B7QK46
7d1h,2.3.2.5,B7QK46
7d21,2.3.2.5,B7QK46
4mhp,2.3.2.5,B7QK46
4mhn,2.3.2.5,B7QK46
4mhz,2.3.2.5,B7QK46
7d2i,2.3.2.5,B7QK46
7d23,2.3.2.5,B7QK46
5idi,3.2.1.21,B9K7M5
9qr8,3.4.21.26,C0HLV2
7uxt,3.2.2.5,C0MAL8
4i8p,1.2.1.-;1.2.1.19;1.2.1.47;1.2.1.54;1.2.1.8,C0P9J6
4in9,3.4.24.-,D0EM77
2xs3,3.4.24.-,D0EM77
4r3v,3.4.24.-,D0EM77
8b2q,3.4.24.-,D0EM77
2xs4,3.4.24.-,D0EM77
4kqw,1.1.1.86,D0WGK0
4kqx,1.1.1.86,D0WGK0
9h6w,2.3.2.27,D0ZVG2
4nkg,2.3.2.27,D0ZVG2
4nkh,2.3.2.27,D0ZVG2
4haq,3.2.1.91,D4HRL0
4gwa,3.2.1.91,D4HRL0
4hap,3.2.1.91,D4HRL0
4ipm,3.2.1.91,D4HRL0
5lka,3.8.1.5,D4Z2G1
1k5p,3.8.1.5,D4Z2G1
1k6e,3.8.1.5,D4Z2G1
1mj5,3.8.1.5,D4Z2G1
1iz8,3.8.1.5,D4Z2G1
1cv2,3.8.1.5,D4Z2G1
6s06,3.8.1.5,D4Z2G1
1g4h,3.8.1.5,D4Z2G1
1g42,3.8.1.5,D4Z2G1
4wdq,3.8.1.5,D4Z2G1
2bfn,3.8.1.5,D4Z2G1
1k63,3.8.1.5,D4Z2G1
1d07,3.8.1.5,D4Z2G1
4wdr,3.8.1.5,D4Z2G1
1g5f,3.8.1.5,D4Z2G1
7nfz,3.8.1.5,D4Z2G1
1iz7,3.8.1.5,D4Z2G1
7mp9,2.7.11.1,D6WMX4
8uct,2.7.11.1,D6WMX4
8udc,2.7.11.1,D6WMX4
5yj9,2.7.11.1,D6WMX4
5oat,2.7.11.1,D6WMX4
7mp8,2.7.11.1,D6WMX4
4xdz,1.1.1.383,E0SRA9
4xeh,1.1.1.383,E0SRA9
5e4r,1.1.1.383,E0SRA9
5caw,2.3.2.31,E0VIU9
7t4m,2.7.11.1,E0W1I1
8uyf,2.7.11.1,E0W1I1
8uyh,2.7.11.1,E0W1I1
7t3x,2.7.11.1,E0W1I1
7t4n,2.7.11.1,E0W1I1
7t4l,2.7.11.1,E0W1I1
8uyi,2.7.11.1,E0W1I1
7t4k,2.7.11.1,E0W1I1
6eqi,2.7.11.1,E0W1I1
8qke,3.4.21.62,E6Y8B9
8coy,3.4.21.62,E6Y8B9
8coz,3.4.21.62,E6Y8B9
8qkj,3.4.21.62,E6Y8B9
8cp0,3.4.21.62,E6Y8B9
8qkg,3.4.21.62,E6Y8B9
4tr2,3.4.21.62,E6Y8B9
1ipi,3.1.21.10,E7FHX4
1gef,3.1.21.10,E7FHX4
5luj,3.1.1.101;3.1.1.74,E9LVH9
5lul,3.1.1.101;3.1.1.74,E9LVH9
5luk,3.1.1.101;3.1.1.74,E9LVH9
3wyn,3.1.1.101;3.1.1.74,F7IX06
3vis,3.1.1.101;3.1.1.74,F7IX06
6aid,3.1.1.101;3.1.1.74,F7IX06
5jy0,3.4.14.-,F8WQK8
5jxk,3.4.14.-,F8WQK8
5jxp,3.4.14.-,F8WQK8
5jwi,3.4.14.-,F8WQK8
5jwg,3.4.14.-,F8WQK8
3r1m,3.1.3.11;4.1.2.13,F9VMT6
1umg,3.1.3.11;4.1.2.13,F9VMT6
7f4c,1.1.1.3,F9VNG5
5avo,1.1.1.3,F9VNG5
4ydr,1.1.1.3,F9VNG5
7f4b,1.1.1.3,F9VNG5
5x9d,1.1.1.3,F9VNG5
1urx,3.2.1.81,G0L322
1o4y,3.2.1.81,G0L322
8keu,3.2.1.8,G0RUP7
3pic,3.1.1.117,G0RV93
6dy0,3.5.1.23;3.5.1.60,G1T7U7
6dxz,3.5.1.23;3.5.1.60,G1T7U7
6dy1,3.5.1.23;3.5.1.60,G1T7U7
4toq,3.2.1.14,G1UH28
6dxq,4.2.1.-,G2IQQ5
6dwv,4.2.1.-,G2IQQ5
6dxs,4.2.1.-,G2IQQ5
4tz3,3.2.1.58,G2NFJ9
4tz5,3.2.1.58,G2NFJ9
4pez,3.2.1.58,G2NFJ9
4tyv,3.2.1.58,G2NFJ9
4pf0,3.2.1.58,G2NFJ9
4pew,3.2.1.58,G2NFJ9
4pey,3.2.1.58,G2NFJ9
4pex,3.2.1.58,G2NFJ9
4tz1,3.2.1.58,G2NFJ9
4g4g,3.1.1.117,G2QJR6
4g4i,3.1.1.117,G2QJR6
4g4j,3.1.1.117,G2QJR6
2k4r,3.4.21.-,G3V801
2k51,3.4.21.-,G3V801
5m0x,3.2.1.22,G4FEF4
6gx8,3.2.1.22,G4FEF4
5m12,3.2.1.22,G4FEF4
5m16,3.2.1.22,G4FEF4
6gwf,3.2.1.22,G4FEF4
1zy9,3.2.1.22,G4FEF4
6gvd,3.2.1.22,G4FEF4
6gwg,3.2.1.22,G4FEF4
5m1i,3.2.1.22,G4FEF4
6gta,3.2.1.22,G4FEF4
5eyv,4.3.2.2,G4VQX9
5eyt,4.3.2.2,G4VQX9
9ktq,3.2.1.151,G4ZHR2
7drc,3.2.1.151,G4ZHR2
7w3v,3.2.1.151,G4ZHR2
4qtz,1.2.1.44,G7IYC1
4quk,1.2.1.44,G7IYC1
4r1u,1.2.1.44,G7JEE5
7vvc,3.1.1.101;3.1.1.74,G9BY57
8cmv,3.1.1.101;3.1.1.74,G9BY57
6tht,3.1.1.101;3.1.1.74,G9BY57
9qys,3.1.1.101;3.1.1.74,G9BY57
7w45,3.1.1.101;3.1.1.74,G9BY57
6ths,3.1.1.101;3.1.1.74,G9BY57
7w1n,3.1.1.101;3.1.1.74,G9BY57
9qyq,3.1.1.101;3.1.1.74,G9BY57
8jmo,3.1.1.101;3.1.1.74,G9BY57
4eb0,3.1.1.101;3.1.1.74,G9BY57
7ds7,3.1.1.101;3.1.1.74,G9BY57
9qyt,3.1.1.101;3.1.1.74,G9BY57
9qyp,3.1.1.101;3.1.1.74,G9BY57
7vve,3.1.1.101;3.1.1.74,G9BY57
9qyr,3.1.1.101;3.1.1.74,G9BY57
8jmp,3.1.1.101;3.1.1.74,G9BY57
9qyu,3.1.1.101;3.1.1.74,G9BY57
7w44,3.1.1.101;3.1.1.74,G9BY57
8ota,3.1.1.101;3.1.1.74,G9BY57
8qrj,3.1.1.101;3.1.1.74,G9BY57
3vm5,3.2.1.1,H2N0D4
4qge,3.1.4.35,H2QL32
6vsp,1.1.1.-,H9XP47
6xew,1.1.1.-,H9XP47
6xex,1.1.1.-,H9XP47
4fs9,5.1.1.10,I6LNY0
4dyj,5.1.1.10,I6LNY0
3pl1,3.5.1.19,I6XD65
4ubu,2.3.1.16,I6XHI4
4ubt,2.3.1.16,I6XHI4
4ubv,2.3.1.16,I6XHI4
5onc,2.3.1.16,I6XHI4
4ubw,2.3.1.16,I6XHI4
6wyn,3.1.1.1,I6XU97
6wym,3.1.1.1,I6XU97
9cun,3.5.1.28,I6Y4D2
8a1m,2.3.2.-,I6Y9J2
8j65,2.3.2.-,I6Y9J2
7kem,2.3.2.-,I6Y9J2
5lbg,2.3.2.-,I6Y9J2
6iyw,2.3.2.-,I6Y9J2
5dc2,2.3.2.-,I6Y9J2
7a0z,2.3.2.-,I6Y9J2
5dcc,2.3.2.-,I6Y9J2
5dzj,2.3.2.-,I6Y9J2
5k69,2.3.2.-,I6Y9J2
8pxz,2.3.2.-,I6Y9J2
3vyn,2.3.2.-,I6Y9J2
5lb1,2.3.2.-,I6Y9J2
8a1j,2.3.2.-,I6Y9J2
8a1o,2.3.2.-,I6Y9J2
4qr7,2.3.2.-,I6Y9J2
7f71,2.3.2.-,I6Y9J2
6rrm,2.3.2.-,I6Y9J2
6rlg,2.3.2.-,I6Y9J2
8a1k,2.3.2.-,I6Y9J2
3vyo,2.3.2.-,I6Y9J2
7a10,2.3.2.-,I6Y9J2
5e1i,2.3.2.-,I6Y9J2
6lqb,2.3.2.-,I6Y9J2
6iyv,2.3.2.-,I6Y9J2
5e1g,2.3.2.-,I6Y9J2
5dzp,2.3.2.-,I6Y9J2
7a11,2.3.2.-,I6Y9J2
8pxy,2.3.2.-,I6Y9J2
5dvp,2.3.2.-,I6Y9J2
7a1c,2.3.2.-,I6Y9J2
7a1e,2.3.2.-,I6Y9J2
4qra,2.3.2.-,I6Y9J2
8bk3,2.3.2.-,I6Y9J2
4qtf,2.3.2.-,I6Y9J2
5du7,2.3.2.-,I6Y9J2
8a1l,2.3.2.-,I6Y9J2
8aho,2.3.2.-,I6Y9J2
8a1n,2.3.2.-,I6Y9J2
5d7h,2.3.2.-,I6Y9J2
5duj,2.3.2.-,I6Y9J2
7f8p,2.3.2.-,I6Y9J2
3vyp,2.3.2.-,I6Y9J2
4qrb,2.3.2.-,I6Y9J2
3hwk,2.3.3.16;2.3.3.5,I6Y9Q3
4x28,1.3.99.-,I6YCA3
5hsj,4.1.1.25,J7GQ11
5hsi,4.1.1.25,J7GQ11
6op8,2.3.2.23,O00102
7pue,2.7.11.1,O00141
3hdm,2.7.11.1,O00141
3hdn,2.7.11.1,O00141
2r5t,2.7.11.1,O00141
2qq2,3.1.2.2,O00154
3geb,3.1.3.48,O00167
3hb0,3.1.3.48,O00167
3hb1,3.1.3.48,O00167
5zma,3.1.3.48,O00167
7f8g,3.1.3.48,O00167
7f8h,3.1.3.48,O00167
4egc,3.1.3.48,O00167
1q22,2.8.2.2,O00204
1q1q,2.8.2.2,O00204
1q20,2.8.2.2,O00204
1q1z,2.8.2.2,O00204
3mdy,2.7.11.30,O00238
5tj7,2.3.2.26,O00308
9eqh,2.3.2.26,O00308
4y07,2.3.2.26,O00308
8ei8,2.3.2.26,O00308
5tjq,2.3.2.26,O00308
8ei7,2.3.2.26,O00308
6j1z,2.3.2.26,O00308
8ei6,2.3.2.26,O00308
6rss,2.3.2.26,O00308
8ei5,2.3.2.26,O00308
5tj8,2.3.2.26,O00308
4f9a,2.7.11.1,O00311
4f99,2.7.11.1,O00311
6ya8,2.7.11.1,O00311
4f9c,2.7.11.1,O00311
6ya7,2.7.11.1,O00311
5uwq,2.7.11.1,O00311
5uwr,2.7.11.1,O00311
6ya6,2.7.11.1,O00311
4f9b,2.7.11.1,O00311
3bfx,2.8.2.1,O00338
3llk,1.8.3.2,O00391
3q6o,1.8.3.2,O00391
3lli,1.8.3.2,O00391
4ij3,1.8.3.2,O00391
4jib,3.1.4.17,O00408
6znd,3.1.4.17,O00408
6c7e,3.1.4.17,O00408
4c1i,3.1.4.17,O00408
5u7l,3.1.4.17,O00408
3itu,3.1.4.17,O00408
5u7d,3.1.4.17,O00408
4htx,3.1.4.17,O00408
6b97,3.1.4.17,O00408
5vp0,3.1.4.17,O00408
4htz,3.1.4.17,O00408
6b96,3.1.4.17,O00408
6cyc,3.1.4.17,O00408
6cyd,3.1.4.17,O00408
5tzz,3.1.4.17,O00408
6c7g,3.1.4.17,O00408
6c7i,3.1.4.17,O00408
3itm,3.1.4.17,O00408
5tza,3.1.4.17,O00408
5u7j,3.1.4.17,O00408
5tzw,3.1.4.17,O00408
5tzx,3.1.4.17,O00408
6cyb,3.1.4.17,O00408
5tz3,3.1.4.17,O00408
5u7k,3.1.4.17,O00408
5u00,3.1.4.17,O00408
6b98,3.1.4.17,O00408
4d09,3.1.4.17,O00408
5u7i,3.1.4.17,O00408
5vp1,3.1.4.17,O00408
1z1l,3.1.4.17,O00408
6ezf,3.1.4.17,O00408
5tzh,3.1.4.17,O00408
6c7d,3.1.4.17,O00408
6c7j,3.1.4.17,O00408
5tzc,3.1.4.17,O00408
6blf,3.1.4.17,O00408
3ibj,3.1.4.17,O00408
6zqz,3.1.4.17,O00408
5xkm,3.1.4.17,O00408
4d08,3.1.4.17,O00408
6c7f,3.1.4.17,O00408
6w3i,2.7.11.21,O00444
9o63,2.7.11.21,O00444
6w38,2.7.11.21,O00444
6w3j,2.7.11.21,O00444
2n19,2.7.11.21,O00444
3cok,2.7.11.21,O00444
8xpg,2.7.11.21,O00444
4n9j,2.7.11.21,O00444
4yur,2.7.11.21,O00444
6n45,2.7.11.21,O00444
6n46,2.7.11.21,O00444
4jxf,2.7.11.21,O00444
4n7z,2.7.11.21,O00444
5lhz,2.7.11.21,O00444
5lhy,2.7.11.21,O00444
4yyp,2.7.11.21,O00444
4n7v,2.7.11.21,O00444
4nzw,2.7.11.1,O00506
7z4v,2.7.11.1,O00506
2xik,2.7.11.1,O00506
3t0o,4.6.1.19,O00584
1ehw,2.7.4.6,O00746
8tau,2.3.2.23;2.3.2.24,O00762
8tar,2.3.2.23;2.3.2.24,O00762
5a31,2.3.2.23;2.3.2.24,O00762
1i7k,2.3.2.23;2.3.2.24,O00762
9n9r,2.3.2.23;2.3.2.24,O00762
9n9s,2.3.2.23;2.3.2.24,O00762
4yii,2.3.2.23;2.3.2.24,O00762
2yxu,2.7.1.35,O00764
4eoh,2.7.1.35,O00764
8wr2,2.7.1.35,O00764
4en4,2.7.1.35,O00764
3fhx,2.7.1.35,O00764
3fhy,2.7.1.35,O00764
3keu,2.7.1.35,O00764
2ajp,2.7.1.35,O00764
2yxt,2.7.1.35,O00764
2f7k,2.7.1.35,O00764
2bl9,1.5.1.3;2.1.1.45,O02604
2blc,1.5.1.3;2.1.1.45,O02604
2blb,1.5.1.3;2.1.1.45,O02604
2bla,1.5.1.3;2.1.1.45,O02604
1fc9,3.4.21.102,O04073
1fc6,3.4.21.102,O04073
1fcf,3.4.21.102,O04073
1fc7,3.4.21.102,O04073
4qlp,3.2.2.5,O05442
2goy,1.8.4.10,O05927
1p5h,2.8.3.16,O06644
1vgr,2.8.3.16,O06644
1t3z,2.8.3.16,O06644
2vjn,2.8.3.16,O06644
2vjl,2.8.3.16,O06644
1p5r,2.8.3.16,O06644
2vjq,2.8.3.16,O06644
2vjp,2.8.3.16,O06644
2vjk,2.8.3.16,O06644
1vgq,2.8.3.16,O06644
2vjo,2.8.3.16,O06644
1t4c,2.8.3.16,O06644
2vjm,2.8.3.16,O06644
7p0y,3.1.1.23,O07427
9rf5,3.1.1.23,O07427
6eic,3.1.1.23,O07427
7ozm,3.1.1.23,O07427
9rf2,3.1.1.23,O07427
9rhw,3.1.1.23,O07427
6njt,3.1.30.-,O08600
6m3f,3.1.30.-,O08600
6nju,3.1.30.-,O08600
6m3u,3.1.30.-,O08600
6lyf,3.1.30.-,O08600
6m3t,3.1.30.-,O08600
2wzj,2.7.11.1;2.7.11.26,O08679
1y8g,2.7.11.1;2.7.11.26,O08679
1zmv,2.7.11.1;2.7.11.26,O08679
1zmu,2.7.11.1;2.7.11.26,O08679
2r0i,2.7.11.1;2.7.11.26,O08679
1zmw,2.7.11.1;2.7.11.26,O08679
7z5r,3.2.2.-;4.2.99.18,O08760
9gih,3.2.2.-;4.2.99.18,O08760
9f8v,3.2.2.-;4.2.99.18,O08760
6g40,3.2.2.-;4.2.99.18,O08760
8bq7,3.2.2.-;4.2.99.18,O08760
7az0,3.2.2.-;4.2.99.18,O08760
9f8u,3.2.2.-;4.2.99.18,O08760
6g3y,3.2.2.-;4.2.99.18,O08760
6g3x,3.2.2.-;4.2.99.18,O08760
7qel,3.2.2.-;4.2.99.18,O08760
9fnv,3.2.2.-;4.2.99.18,O08760
8cey,3.2.2.-;4.2.99.18,O08760
8cex,3.2.2.-;4.2.99.18,O08760
9fnu,3.2.2.-;4.2.99.18,O08760
7zc7,3.2.2.-;4.2.99.18,O08760
7pz1,3.2.2.-;4.2.99.18,O08760
7z5b,3.2.2.-;4.2.99.18,O08760
8bvx,3.2.2.-;4.2.99.18,O08760
